segment_id	segment_text	comment_text
pli-tv-kd2:15.10.9	If the Sangha is ready, so-and-so will reply when asked by so-and-so on the Monastic Law.’	NA
pli-tv-kd2:15.11.1	Soon good monks replied to questions on the Monastic Law in the midst of the Sangha after being approved.	NA
pli-tv-kd2:15.11.2	The monks from the group of six became angry and bitter, and they made threats of violence.	NA
pli-tv-kd2:15.11.4	“The monk who has been approved should first survey the gathering and evaluate the individuals, and then reply to questions on the Monastic Law in the midst of the Sangha.”	NA
pli-tv-kd2:16.1.0	14. Discussion of accusing	NA
pli-tv-kd2:16.1.1	At one time the monks from the group of six accused a monk of an offense without first getting his permission to do so.	NA
pli-tv-kd2:16.1.3	“You shouldn’t accuse a monk of an offense without first getting his permission.	NA
pli-tv-kd2:16.1.4	If you do, you commit an offense of wrong conduct.	NA
pli-tv-kd2:16.1.5	You should only accuse someone of an offense after getting their permission:	NA
pli-tv-kd2:16.1.6	‘I wish to speak to you, venerable, please give me permission.’”	NA
pli-tv-kd2:16.2.1	Soon, after getting their permission, good monks accused the monks from the group of six of an offense.	NA
pli-tv-kd2:16.2.2	The monks from the group of six became angry and bitter, and they made threats of violence.	NA
pli-tv-kd2:16.2.4	“Even when you have their permission, you should first evaluate the individual and then accuse them of an offense.”	NA
pli-tv-kd2:16.3.1	At this time the monks from the group of six—thinking to act before the good monks asked them for permission, but having no reason for doing so—asked permission from pure monks who had not committed any offenses.	NA
pli-tv-kd2:16.3.3	“When there is no reason for doing so, you shouldn’t ask permission from pure monks who haven’t committed any offenses.	NA
pli-tv-kd2:16.3.4	If you do, you commit an offense of wrong conduct.	NA
pli-tv-kd2:16.3.5	And you should give permission only after evaluating the individual.”	NA
pli-tv-kd2:16.4.0	15. Objecting to an illegitimate legal procedure, etc.	NA
pli-tv-kd2:16.4.1	On one occasion the monks from the group of six did an illegitimate legal procedure in the midst of the Sangha.	NA
pli-tv-kd2:16.4.3	“You shouldn’t do illegitimate legal procedures.	NA
pli-tv-kd2:16.4.4	If you do, you commit an offense of wrong conduct.”	NA
pli-tv-kd2:16.4.5	They still did illegitimate procedures.	NA
pli-tv-kd2:16.4.7	“You should object when an illegitimate legal procedure is being done.”	NA
pli-tv-kd2:16.5.1	Soon afterwards good monks objected when the monks from the group of six did an illegitimate procedure.	NA
pli-tv-kd2:16.5.2	The monks from the group of six became angry and bitter, and they made threats of violence.	NA
pli-tv-kd2:16.5.4	“I also allow you to state your view.”	NA
pli-tv-kd2:16.5.5	They did.	NA
pli-tv-kd2:16.5.6	Once again the monks from the group of six became angry and bitter, making threats of violence.	NA
pli-tv-kd2:16.5.8	“A group of four or five should object, a group of two or three may state their view, and a single person may make a silent determination:	NA
pli-tv-kd2:16.5.9	‘I don’t approve of this.’”	NA
pli-tv-kd2:16.6.1	On one occasion when the monks from the group of six were reciting the Monastic Code in the midst of the Sangha, they deliberately made themselves inaudible.	NA
pli-tv-kd2:16.6.3	“When reciting the Monastic Code, you shouldn’t deliberately make yourselves inaudible.	NA
pli-tv-kd2:16.6.4	If you do, you commit an offense of wrong conduct.”	NA
pli-tv-kd2:16.7.1	At one time Venerable Udāyī was the Sangha’s reciter of the Monastic Code, but he had a hoarse voice.	NA
pli-tv-kd2:16.7.2	He knew	NA
pli-tv-kd2:16.7.3	that the Buddha had laid down a rule	NA
pli-tv-kd2:16.7.4	that the reciters of the Monastic Code should make themselves heard, and he thought, ‘I have a hoarse voice. What should I do?’	NA
pli-tv-kd2:16.7.6	“The reciter of the Monastic Code should make an effort	NA
pli-tv-kd2:16.7.7	to be heard.	NA
pli-tv-kd2:16.7.8	If you make an effort, there’s no offense.”	NA
pli-tv-kd2:16.8.1	On one occasion Devadatta recited the Monastic Code in a gathering that included lay people.	NA
pli-tv-kd2:16.8.3	“You shouldn’t recite the Monastic Code in a gathering that includes lay people.	NA
pli-tv-kd2:16.8.4	If you do, you commit an offense of wrong conduct.”	NA
pli-tv-kd2:16.9.1	On one occasion the monks from the group of six recited the Monastic Code in the midst of the Sangha without being asked.	NA
pli-tv-kd2:16.9.3	“You shouldn’t recite the Monastic Code in the midst of the Sangha without first being asked to do so.	NA
pli-tv-kd2:16.9.4	If you do, you commit an offense of wrong conduct.	NA
pli-tv-kd2:16.9.5	The most senior monk should be in charge of the recitation of the Monastic Code.”	NA
pli-tv-kd2:16.9.6	The first section for recitation on monastics of other religions is finished.	NA
pli-tv-kd2:17.1.0	16. Requesting the recitation of the Monastic Code, etc.	NA
pli-tv-kd2:17.1.1	When the Buddha had stayed at Rājagaha for as long as he liked, he set out wandering toward Codanāvatthu.	NA
pli-tv-kd2:17.1.2	When he eventually arrived, he stayed there.	NA
pli-tv-kd2:17.1.3	At that time a number of monks were staying in a certain monastery	NA
pli-tv-kd2:17.1.4	where the most senior monk was ignorant and incompetent.	NA
pli-tv-kd2:17.1.5	He did not know about the observance-day ceremony or the observance-day procedure, nor about the Monastic Code or its recitation.	NA
pli-tv-kd2:17.2.1	The other monks knew	NA
pli-tv-kd2:17.2.2	that the Buddha had laid down a rule	NA
pli-tv-kd2:17.2.3	that the most senior monk should be in charge of the recitation of the Monastic Code,	NA
pli-tv-kd2:17.2.4	and so they wondered what to do.	NA
pli-tv-kd2:17.2.5	They told the Buddha.	NA
pli-tv-kd2:17.2.6	“In such a case, a competent and capable monk there should be in charge of the recitation of the Monastic Code.”	NA
pli-tv-kd2:17.3.1	On one occasion on the observance day, a number of ignorant and incompetent monks were staying in a certain monastery.	NA
pli-tv-kd2:17.3.2	They did not know about the observance-day ceremony or the observance-day procedure, nor about the Monastic Code or its recitation.	NA
pli-tv-kd2:17.3.3	They requested the most senior monk	NA
pli-tv-kd2:17.3.4	to recite the Monastic Code,	NA
pli-tv-kd2:17.3.5	but he replied	NA
pli-tv-kd2:17.3.6	that he was incapable.	NA
pli-tv-kd2:17.3.7	They made the same request of the second-most	NA
pli-tv-kd2:17.3.11	and third-most senior monks,	NA
pli-tv-kd2:17.3.13	and on both occasions	NA
pli-tv-kd2:17.3.14	received the same reply.	NA
pli-tv-kd2:17.3.15	They then requested	NA
pli-tv-kd2:17.3.16	each monk in turn until they reached the most junior monk.	NA
pli-tv-kd2:17.3.17	And they all gave the same reply.	NA
pli-tv-kd2:17.4.3	“When all the monks in a monastery are ignorant and incompetent,	NA
pli-tv-kd2:17.4.4	and none of them is able to recite the Monastic Code,	NA
pli-tv-kd2:17.5.1	they should straightaway send a monk to a neighboring monastery	NA
pli-tv-kd2:17.5.2	to learn the Monastic Code, either in brief or in full.”	NA
pli-tv-kd2:17.6.1	The monks thought,	NA
pli-tv-kd2:17.6.2	“Who is responsible for sending someone?”	NA
pli-tv-kd2:17.6.4	“The most senior monk should tell a junior monk to go.”	NA
pli-tv-kd2:17.6.5	Although told by the senior monk, the junior monks did not go.	NA
pli-tv-kd2:17.6.7	“If a monk isn’t sick and he’s told by the most senior monk to go, he should go.	NA
pli-tv-kd2:17.6.8	If he doesn’t, he commits an offense of wrong conduct.”	NA
pli-tv-kd2:18.1.0	17. The instruction to learn the number of the lunar half-month, etc.	NA
pli-tv-kd2:18.1.1	When he had stayed at Codanāvatthu for as long as he liked, the Buddha returned to Rājagaha.	NA
pli-tv-kd2:18.1.2	Then, while the monks were walking for almsfood, people asked them which half-month it was.	NA
pli-tv-kd2:18.1.4	They replied	NA
pli-tv-kd2:18.1.5	that they did not know.	NA
pli-tv-kd2:18.1.6	People complained and criticized them,	NA
pli-tv-kd2:18.1.7	“These Sakyan monastics don’t even know the number of the lunar half-month. So how could they possibly know anything truly useful?”	NA
pli-tv-kd2:18.1.8	They told the Buddha.	NA
pli-tv-kd2:18.1.9	“You should learn the counting of the lunar half-months.”	NA
pli-tv-kd2:18.2.1	The monks thought,	NA
pli-tv-kd2:18.2.2	“Who should learn the counting of the lunar half-months?”	NA
pli-tv-kd2:18.2.4	“You should all learn the counting of the lunar half-months.”	NA
pli-tv-kd2:18.3.1	On another occasion, while the monks were walking for almsfood, people asked them how many monks there were.	NA
pli-tv-kd2:18.3.3	They replied	NA
pli-tv-kd2:18.3.4	that they did not know.	NA
pli-tv-kd2:18.3.5	People complained and criticized them,	NA
pli-tv-kd2:18.3.6	“These Sakyan monastics don’t even know about one another. So how could they possibly know anything truly useful?”	NA
pli-tv-kd2:18.3.8	“You should count the monks.”	NA
pli-tv-kd2:18.4.1	The monks thought,	NA
pli-tv-kd2:18.4.2	“When should we count the monks?”	NA
pli-tv-kd2:18.4.4	“You should count the monks on the observance day, either by name or by distributing tickets.”	“By name” renders the obscure compound _nāmaggena_. The commentaries are silent. Alternative readings include _nāmamattena_, _gaṇamaggena_, and _nasamaggena_, none of which is an obvious fit for the current context.
pli-tv-kd2:19.1.1	On one occasion, monks walked for almsfood in a faraway village, not knowing that it was the observance day.	NA
pli-tv-kd2:19.1.2	They arrived back while the Monastic Code was being recited or even just after.	NA
pli-tv-kd2:19.1.4	“You should announce, ‘Today is the observance day.’”	NA
pli-tv-kd2:19.1.5	The monks thought,	NA
pli-tv-kd2:19.1.6	“Who should make the announcement?”	NA
pli-tv-kd2:19.1.8	“The most senior monk should make the announcement early in the morning.”	NA
pli-tv-kd2:19.1.9	Soon afterwards a certain senior monk forgot to make the announcement early in the morning.	NA
pli-tv-kd2:19.1.11	“I allow you to make the announcement at the mealtime too.”	NA
pli-tv-kd2:19.1.12	He forgot to make the announcement at the mealtime too.	NA
pli-tv-kd2:19.1.14	“I allow you to make the announcement whenever you remember.”	NA
pli-tv-kd2:20.1.0	18. The instruction to do the prior duties	NA
pli-tv-kd2:20.1.1	On one occasion in a certain monastery, the observance-day hall was dirty.	NA
pli-tv-kd2:20.1.2	Newly-arrived monks complained,	NA
pli-tv-kd2:20.1.3	“Why don’t the resident monks sweep the hall?”	NA
pli-tv-kd2:20.1.4	They told the Buddha.	NA
pli-tv-kd2:20.1.5	“You should sweep the observance-day hall.”	NA
pli-tv-kd2:20.2.1	The monks thought,	NA
pli-tv-kd2:20.2.2	“Who should sweep it?”	NA
pli-tv-kd2:20.2.4	“The most senior monk should tell a junior monk.”	NA
pli-tv-kd2:20.2.5	Although told by the senior monk, the junior monks did not sweep.	NA
pli-tv-kd2:20.2.7	“If a monk isn’t sick and he’s told by the senior monk to sweep, he should sweep.	NA
pli-tv-kd2:20.2.8	If he doesn’t, he commits an offense of wrong conduct.”	NA
pli-tv-kd2:20.3.1	On one occasion no seats were prepared in the observance-day hall.	NA
pli-tv-kd2:20.3.2	The monks sat on the ground. They became dirty, as did their robes.	NA
pli-tv-kd2:20.3.4	“You should prepare seats in the observance-day hall.”	NA
pli-tv-kd2:20.3.5	The monks thought,	NA
pli-tv-kd2:20.3.6	“Who should prepare them?”	NA
pli-tv-kd2:20.3.8	“The most senior monk should tell a junior monk.”	NA
pli-tv-kd2:20.3.9	Although told by the senior monk, the junior monks did not prepare them.	NA
pli-tv-kd2:20.3.11	“If a monk isn’t sick and he’s told by the senior monk to prepare the seats, he should do so.	NA
pli-tv-kd2:20.3.12	If he doesn’t, he commits an offense of wrong conduct.”	NA
pli-tv-kd2:20.4.1	On one occasion there was no lamp in the observance-day hall.	NA
pli-tv-kd2:20.4.2	Because it was dark, the monks stepped on one another and on one another’s robes.	NA
pli-tv-kd2:20.4.4	“You should light a lamp in the observance-day hall.”	NA
pli-tv-kd2:20.4.5	The monks thought,	NA
pli-tv-kd2:20.4.6	“Who should light it?”	NA
pli-tv-kd2:20.4.8	“The most senior monk should tell a junior monk.”	NA
pli-tv-kd2:20.4.9	Although told by the senior monk, the junior monks did not light a lamp.	NA
pli-tv-kd2:20.4.11	“If a monk isn’t sick and he’s told by the senior monk to light a lamp, he should do so.	NA
pli-tv-kd2:20.4.12	If he doesn’t, he commits an offense of wrong conduct.”	NA
pli-tv-kd2:20.5.1	On one occasion in a certain monastery, the resident monks didn’t set out water for drinking or water for washing.	NA
pli-tv-kd2:20.5.2	Newly-arrived monks complained and criticized them,	NA
pli-tv-kd2:20.5.3	“Why don’t the resident monks set out water for drinking and water for washing?”	NA
pli-tv-kd2:20.5.5	“You should set out water for drinking and water for washing.”	NA
pli-tv-kd2:20.6.1	The monks thought,	NA
pli-tv-kd2:20.6.2	“Who should do it?”	NA
pli-tv-kd2:20.6.4	“The most senior monk should tell a junior monk.”	NA
pli-tv-kd2:20.6.5	Although told by the senior monk, the junior monks did not do it.	NA
pli-tv-kd2:20.6.7	“If a monk isn’t sick and he’s told by the senior monk to set them out, he should do so.	NA
pli-tv-kd2:20.6.8	If he doesn’t, he commits an offense of wrong conduct.”	NA
pli-tv-kd2:21.1.0	19. Those going to a different region, etc.	NA
pli-tv-kd2:21.1.1	On one occasion a number of ignorant and incompetent monks asked permission from their teachers and preceptors to go to a different region.	NA
pli-tv-kd2:21.1.2	They told the Buddha.	NA
pli-tv-kd2:21.1.3	“A number of ignorant and incompetent monks might ask their teachers and preceptors for permission to go to a different region.	NA
pli-tv-kd2:21.1.4	The teachers and preceptors should then ask them	NA
pli-tv-kd2:21.1.5	where they’re going and who they’re going with.	NA
pli-tv-kd2:21.1.6	If they’re going with others who are ignorant and incompetent, the teachers and preceptors shouldn’t give them permission.	NA
pli-tv-kd2:21.1.7	If they do, they commit an offense of wrong conduct.	NA
pli-tv-kd2:21.1.8	And if the students go without permission from their teachers and preceptors, they commit an offense of wrong conduct.	NA
pli-tv-kd2:21.2.1	A number of ignorant and incompetent monks may be staying in a certain monastery.	NA
pli-tv-kd2:21.2.2	They don’t know about the observance-day ceremony or the observance-day procedure, nor about the Monastic Code or its recitation.	NA
pli-tv-kd2:21.2.3	Then a monk arrives who is learned and a master of the tradition; who is an expert on the Teaching, the Monastic Law, and the Key Terms; who is knowledgeable and competent, has a sense of conscience, and is afraid of wrongdoing and fond of the training.	_Mātikā_, “Key Terms”, probably refers to the two Pātimokkhas. Sp 5.325: _Pātimokkhanti dve mātikā na jānāti_, “_Pātimokkha_: he does not know the two (collections of) Key Terms.”
pli-tv-kd2:21.2.4	Those monks should treat that learned monk with kindness. They should assist him and befriend him, and they should attend on him with bath powder, soap, tooth cleaners, and water for rinsing the mouth.	For an explanation of rendering _cuṇṇa_ and _mattika_ as respectively “bath powder” and “soap”, see Appendix of Technical Terms.
pli-tv-kd2:21.2.5	If they don’t look after him in this way, they commit an offense of wrong conduct.	NA
pli-tv-kd2:21.3.1	On the observance day, a number of ignorant and incompetent monks may be staying in a certain monastery.	NA
pli-tv-kd2:21.3.2	They don’t know about the observance-day ceremony or the observance-day procedure, nor about the Monastic Code or its recitation.	NA
pli-tv-kd2:21.3.3	They should straightaway send a monk to a neighboring monastery	NA
pli-tv-kd2:21.3.4	to learn the Monastic Code, either in brief or in full.	NA
pli-tv-kd2:21.3.5	If he’s able to do this, it’s good.	NA
pli-tv-kd2:21.3.6	If he’s not, then those monks should all go to a monastery where the monks know about the observance-day ceremony and the observance-day procedure, and about the Monastic Code and its recitation.	NA
pli-tv-kd2:21.3.7	If they don’t go, they commit an offense of wrong conduct.	NA
pli-tv-kd2:21.4.1	A number of ignorant and incompetent monks may be spending the rainy-season residence in a certain monastery.	NA
pli-tv-kd2:21.4.2	They don’t know about the observance-day ceremony or the observance-day procedure, nor about the Monastic Code or its recitation.	NA
pli-tv-kd2:21.4.3	They should straightaway send a monk to a neighboring monastery	NA
pli-tv-kd2:21.4.4	to learn the Monastic Code, either in brief or in full.	NA
pli-tv-kd2:21.4.5	If he’s able to do this, it’s good.	NA
pli-tv-kd2:21.4.6	If he’s not, then a monk should be sent under the seven-day allowance	NA
pli-tv-kd2:21.4.7	to learn the Monastic Code, either in brief or in full.	NA
pli-tv-kd2:21.4.8	If he’s able to do this, it’s good.	NA
pli-tv-kd2:21.4.9	If he’s not, then those monks shouldn’t spend the rainy-season residence in that monastery.	NA
pli-tv-kd2:21.4.10	If they do, they commit an offense of wrong conduct.”	NA
pli-tv-kd2:22.1.0	20. Discussion of the passing on of purity	NA
pli-tv-kd2:22.1.1	Then the Buddha addressed the monks:	NA
pli-tv-kd2:22.1.2	“Gather, monks, for the Sangha to do the observance-day ceremony.”	NA
pli-tv-kd2:22.1.3	A monk said to the Buddha,	NA
pli-tv-kd2:22.1.4	“Sir, there’s a sick monk. He hasn’t come.”	NA
pli-tv-kd2:22.1.5	“A sick monk should pass on his purity.	NA
pli-tv-kd2:22.1.6	And he should do it like this.	NA
pli-tv-kd2:22.1.7	The sick monk should approach a monk, arrange his upper robe over one shoulder, and squat on his heels. He should then raise his joined palms and say,	NA
pli-tv-kd2:22.1.8	‘I pass on my purity; please convey my purity; please announce my purity.’	NA
pli-tv-kd2:22.1.9	If he makes this understood by body, by speech, or by body and speech, then the purity has been passed on.	NA
pli-tv-kd2:22.1.10	If he doesn’t make this understood by body, by speech, or by body and speech, then the purity hasn’t been passed on.	NA
pli-tv-kd2:22.2.1	If he’s able to do this, it’s good.	NA
pli-tv-kd2:22.2.2	If he’s not, then the sick monk should be brought into the midst of the Sangha together with his bed or bench. They can then do the observance-day ceremony.	NA
pli-tv-kd2:22.2.3	But if the one who is nursing him says,	NA
pli-tv-kd2:22.2.4	‘If we move him, his illness will get worse, or he’ll die,’ then the sick monk shouldn’t be moved.	NA
pli-tv-kd2:22.2.5	The Sangha should go to where the sick monk is and do the observance-day ceremony there.	NA
pli-tv-kd2:22.2.6	You shouldn’t do the observance-day ceremony with an incomplete Sangha.	NA
pli-tv-kd2:22.2.7	If you do, you commit an offense of wrong conduct.	NA
pli-tv-kd2:22.3.1	If, after the purity has been passed on to him, the monk who is conveying the purity goes away right then and there, then the purity should be passed on to someone else.	Sp 3.164: _Tattheva pakkamatīti saṅghamajjhaṁ anāgantvā tatova katthaci gacchati_, “_Tattheva pakkamati_: not having gone to the midst of the Sangha, he goes wherever.”
pli-tv-kd2:22.3.2	If, after the purity has been passed on to him, the monk who is conveying the purity disrobes right then and there,	NA
pli-tv-kd2:22.3.3	dies right then and there,	NA
pli-tv-kd2:22.3.4	admits right then and there that he’s a novice monk,	NA
pli-tv-kd2:22.3.5	admits right then and there that he’s renounced the training,	NA
pli-tv-kd2:22.3.6	admits right then and there that he’s committed the worst kind of offense,	NA
pli-tv-kd2:22.3.7	admits right then and there that he’s insane,	NA
pli-tv-kd2:22.3.8	admits right then and there that he’s deranged,	NA
pli-tv-kd2:22.3.9	admits right then and there that he’s overwhelmed by pain,	NA
pli-tv-kd2:22.3.10	admits right then and there that he’s been ejected for not recognizing an offense,	NA
pli-tv-kd2:22.3.11	admits right then and there that he’s been ejected for not making amends for an offense,	NA
pli-tv-kd2:22.3.12	admits right then and there that he’s been ejected for not giving up a bad view,	NA
pli-tv-kd2:22.3.13	admits right then and there that he’s a _paṇḍaka_,	NA
pli-tv-kd2:22.3.14	admits right then and there that he’s a fake monk,	NA
pli-tv-kd2:22.3.15	admits right then and there that he’s previously left to join the monastics of another religion,	NA
pli-tv-kd2:22.3.16	admits right then and there that he’s an animal,	NA
pli-tv-kd2:22.3.17	admits right then and there that he’s a matricide,	NA
pli-tv-kd2:22.3.18	admits right then and there that he’s a patricide,	NA
pli-tv-kd2:22.3.19	admits right then and there that he’s a murderer of a perfected one,	NA
pli-tv-kd2:22.3.20	admits right then and there that he’s raped a nun,	“Raped” renders _dūsaka_. See Appendix of Technical Terms.
pli-tv-kd2:22.3.21	admits right then and there that he’s caused a schism in the Sangha,	NA
pli-tv-kd2:22.3.22	admits right then and there that he’s caused the Buddha to bleed,	NA
pli-tv-kd2:22.3.23	or admits right then and there that he’s a gynandromorph, then the purity should be passed on to someone else.	NA
pli-tv-kd2:22.4.1	If, after the purity has been passed on to him, the monk who is conveying the purity goes away while on his way to the observance-day ceremony, then the purity hasn’t been brought.	NA
pli-tv-kd2:22.4.2	If, after the purity has been passed on to him, the monk who is conveying the purity disrobes while on his way to the observance-day ceremony …	NA
pli-tv-kd2:22.4.3	or admits that he’s a gynandromorph while on his way to the observance-day ceremony, then the purity hasn’t been brought.	NA
pli-tv-kd2:22.4.4	But if, after the purity has been passed on to him, the monk who is conveying the purity goes away after reaching the Sangha, then the purity has been brought.	NA
pli-tv-kd2:22.4.5	And if, after the purity has been passed on to him, the monk who is conveying the purity disrobes after reaching the Sangha …	NA
pli-tv-kd2:22.4.6	or admits that he’s a gynandromorph after reaching the Sangha, then the purity has been brought.	NA
pli-tv-kd2:22.4.7	And if, after the purity has been passed on to him, the monk who is conveying the purity reaches the Sangha, but doesn’t announce the purity because he falls asleep or is heedless or gains a meditation attainment, then the purity has been brought.	NA
pli-tv-kd2:22.4.8	There’s no offense for the one who is conveying the purity.	NA
pli-tv-kd2:22.4.9	And if, after the purity has been passed on to him, the monk who is conveying the purity reaches the Sangha, but deliberately doesn’t announce the purity, then the purity has been brought.	NA
pli-tv-kd2:22.4.10	But there’s an offense of wrong conduct for the one who is conveying the purity.”	NA
pli-tv-kd2:23.1.0	21. Discussion on giving consent	NA
pli-tv-kd2:23.1.1	The Buddha addressed the monks:	NA
pli-tv-kd2:23.1.2	“Gather, monks, for the Sangha to do a legal procedure.”	NA
pli-tv-kd2:23.1.3	A monk said to the Buddha,	NA
pli-tv-kd2:23.1.4	“Sir, there’s a sick monk. He hasn’t come.”	NA
pli-tv-kd2:23.1.5	“A sick monk should give his consent.	NA
pli-tv-kd2:23.1.6	And he should give like this.	NA
pli-tv-kd2:23.1.7	The sick monk should approach a monk, arrange his upper robe over one shoulder, and squat on his heels. He should then raise his joined palms and say,	NA
pli-tv-kd2:23.1.8	‘I give my consent; please convey my consent; please announce my consent.’	NA
pli-tv-kd2:23.1.9	If he makes this understood by body, by speech, or by body and speech, then the consent has been given.	NA
pli-tv-kd2:23.1.10	If he doesn’t make this understood by body, by speech, or by body and speech, then the consent hasn’t been given.	NA
pli-tv-kd2:23.2.1	If he’s able to do this, it’s good.	NA
pli-tv-kd2:23.2.2	If he’s not, then the sick monk should be brought into the midst of the Sangha together with his bed or bench. They can then do the procedure.	NA
pli-tv-kd2:23.2.3	But if the one who is nursing him says,	NA
pli-tv-kd2:23.2.4	‘If we move him, his illness will get worse, or he’ll die,’ then the sick monk shouldn’t be moved.	NA
pli-tv-kd2:23.2.5	The Sangha should go to where the sick monk is and do the procedure there.	NA
pli-tv-kd2:23.2.6	You shouldn’t do a legal procedure with an incomplete sangha.	NA
pli-tv-kd2:23.2.7	If you do, you commit an offense of wrong conduct.	NA
pli-tv-kd2:23.3.1	If, after the consent has been given to him, the monk who is conveying the consent goes away right then and there, then the consent should be given to someone else.	NA
pli-tv-kd2:23.3.2	If, after the consent has been given to him, the monk who is conveying the consent disrobes right then and there,	NA
pli-tv-kd2:23.3.3	dies right then and there,	NA
pli-tv-kd2:23.3.4	admits right then and there that he’s a novice monk,	NA
pli-tv-kd2:23.3.5	admits right then and there that he’s renounced the training,	NA
pli-tv-kd2:23.3.6	admits right then and there that he’s committed the worst kind of offense,	NA
pli-tv-kd2:23.3.7	admits right then and there that he’s insane,	NA
pli-tv-kd2:23.3.8	admits right then and there that he’s deranged,	NA
pli-tv-kd2:23.3.9	admits right then and there that he’s overwhelmed by pain,	NA
pli-tv-kd2:23.3.10	admits right then and there that he’s been ejected for not recognizing an offense,	NA
pli-tv-kd2:23.3.11	admits right then and there that he’s been ejected for not making amends for an offense,	NA
pli-tv-kd2:23.3.12	admits right then and there that he’s been ejected for not giving up a bad view,	NA
pli-tv-kd2:23.3.13	admits right then and there that he’s a _paṇḍaka_,	NA
pli-tv-kd2:23.3.14	admits right then and there that he’s a fake monk,	NA
pli-tv-kd2:23.3.15	admits right then and there that he’s previously left to join the monastics of another religion,	NA
pli-tv-kd2:23.3.16	admits right then and there that he’s an animal,	NA
pli-tv-kd2:23.3.17	admits right then and there that he’s a matricide,	NA
pli-tv-kd2:23.3.18	admits right then and there that he’s a patricide,	NA
pli-tv-kd2:23.3.19	admits right then and there that he’s a murderer of a perfected one,	NA
pli-tv-kd2:23.3.20	admits right then and there that he’s raped a nun,	NA
pli-tv-kd2:23.3.21	admits right then and there that he’s caused a schism in the Sangha,	NA
pli-tv-kd2:23.3.22	admits right then and there that he’s caused the Buddha to bleed,	NA
pli-tv-kd2:23.3.23	or admits right then and there that he’s a gynandromorph, then the consent should be given to someone else.	NA
pli-tv-kd2:23.3.24	If, after the consent has been given to him, the monk who is conveying the consent goes away while on his way to the legal procedure, then the consent hasn’t been brought.	NA
pli-tv-kd2:23.3.25	If, after the consent has been given to him, the monk who is conveying the consent disrobes while on his way to the legal procedure …	NA
pli-tv-kd2:23.3.26	or admits that he’s a gynandromorph while on his way to the legal procedure, then the consent hasn’t been brought.	NA
pli-tv-kd2:23.3.27	But if, after the consent has been given to him, the monk who is conveying the consent goes away after reaching the Sangha, then the consent has been brought.	NA
pli-tv-kd2:23.3.28	And if, after the consent has been given to him, the monk who is conveying the consent disrobes after reaching the Sangha …	NA
pli-tv-kd2:23.3.29	or admits that he’s a gynandromorph after reaching the Sangha, then the consent has been brought.	NA
pli-tv-kd2:23.3.30	And if, after the consent has been given to him, the monk who is conveying the consent reaches the Sangha, but doesn’t announce the consent because he falls asleep or is heedless or gains a meditation attainment, then the consent has been brought.	NA
pli-tv-kd2:23.3.31	There’s no offense for the one who is conveying the consent.	NA
pli-tv-kd2:23.3.32	And if, after the consent has been given to him, the monk who is conveying the consent reaches the Sangha, but deliberately doesn’t announce the consent, then the consent has been brought.	NA
pli-tv-kd2:23.3.33	But there is an offense of wrong conduct for the one who is conveying the consent.	NA
pli-tv-kd2:23.3.34	On the observance day, if the Sangha has business to be done, then anyone passing on their purity should also give their consent.”	NA
pli-tv-kd2:24.1.0	22. Discussion on being seized by relatives, etc.	NA
pli-tv-kd2:24.1.1	At one time on the observance day, a certain monk was seized by his relatives.	NA
pli-tv-kd2:24.1.2	They told the Buddha.	NA
pli-tv-kd2:24.1.3	“If a monk is seized by his relatives on the observance day,	NA
pli-tv-kd2:24.1.4	other monks should say to those relatives,	NA
pli-tv-kd2:24.1.5	‘Listen, please release this monk for a short time so that he can take part in the observance-day ceremony.’	NA
pli-tv-kd2:24.2.1	If they’re able to do this, it’s good.	NA
pli-tv-kd2:24.2.2	If not, they should say to those relatives,	NA
pli-tv-kd2:24.2.3	‘Listen, please step aside for a moment while this monk passes on his purity.’	NA
pli-tv-kd2:24.2.4	If they’re able to do this, it’s good.	NA
pli-tv-kd2:24.2.5	If not, they should say to those relatives,	NA
pli-tv-kd2:24.2.6	‘Listen, please take this monk outside the monastery zone for a short time while the Sangha does the observance-day ceremony.’	NA
pli-tv-kd2:24.2.7	If they’re able to do this, it’s good.	NA
pli-tv-kd2:24.2.8	If not, you shouldn’t do the observance-day ceremony with an incomplete sangha.	NA
pli-tv-kd2:24.2.9	If you do, you commit an offense of wrong conduct.	NA
pli-tv-kd2:24.3.1	If on the observance day a monk is seized by kings,	NA
pli-tv-kd2:24.3.2	by bandits,	NA
pli-tv-kd2:24.3.3	by scoundrels,	NA
